Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?kodekelompok=855,4,0,8,32.932856751358486,5.4139530038810335,98.61363800155232,42.0,0.0340939549956606,0.0,20,20,99,99,99,99,99,99,99,99,99
GET,/?kodekelompok=856,4,0,19,31.16310750010598,9.975988999940455,70.42312900011893,69.0,0.0340939549956606,0.0,26,26,70,70,70,70,70,70,70,70,70
GET,/?kodekelompok=858,1,0,40.06526899320306,40.06526899320306,40.06526899320306,40.06526899320306,150.0,0.00852348874891515,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/?kodekelompok=859,1,0,6.019474996719509,6.019474996719509,6.019474996719509,6.019474996719509,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=86,1,0,98.19248900021194,98.19248900021194,98.19248900021194,98.19248900021194,254.0,0.00852348874891515,0.0,98,98,98,98,98,98,98,98,98,98,98
GET,/?kodekelompok=860,1,0,5.836142001498956,5.836142001498956,5.836142001498956,5.836142001498956,471.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=862,1,0,8.166250998328906,8.166250998328906,8.166250998328906,8.166250998328906,150.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=863,1,0,54.72650600131601,54.72650600131601,54.72650600131601,54.72650600131601,42.0,0.00852348874891515,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/?kodekelompok=864,2,0,7.189267002104316,14.25209550143336,7.189267002104316,21.314924000762403,42.0,0.0170469774978303,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/?kodekelompok=865,2,0,13,15.960466502292547,12.538103001134004,19.38283000345109,42.0,0.0170469774978303,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/?kodekelompok=866,1,0,10.043362002761569,10.043362002761569,10.043362002761569,10.043362002761569,42.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=867,1,0,34.05473900056677,34.05473900056677,34.05473900056677,34.05473900056677,42.0,0.00852348874891515,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/?kodekelompok=868,1,0,13.942457997472957,13.942457997472957,13.942457997472957,13.942457997472957,150.0,0.00852348874891515,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/?kodekelompok=869,1,0,6.482012999185827,6.482012999185827,6.482012999185827,6.482012999185827,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=871,1,0,39.186681002320256,39.186681002320256,39.186681002320256,39.186681002320256,42.0,0.00852348874891515,0.0,39,39,39,39,39,39,39,39,39,39,39
GET,/?kodekelompok=873,3,0,6,6.884653669355127,5.689540004823357,8.642227003292646,42.0,0.02557046624674545,0.0,6,6,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=874,1,0,16.107303999888245,16.107303999888245,16.107303999888245,16.107303999888245,150.0,0.00852348874891515,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/?kodekelompok=875,2,0,14,27.33306449954398,13.938119001977611,40.72800999711035,149.5,0.0170469774978303,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/?kodekelompok=876,1,0,10.19698699383298,10.19698699383298,10.19698699383298,10.19698699383298,42.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=877,2,0,7,31.646247996832244,6.78882299689576,56.50367299676873,42.0,0.0170469774978303,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/?kodekelompok=878,1,0,5.893023997487035,5.893023997487035,5.893023997487035,5.893023997487035,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=879,3,0,66,60.207034662501734,11.706086996127851,102.72237599565415,42.0,0.02557046624674545,0.0,66,66,100,100,100,100,100,100,100,100,100
GET,/?kodekelompok=88,1,0,6.269254001381341,6.269254001381341,6.269254001381341,6.269254001381341,148.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=880,3,0,7,7.314065335473667,5.328051003743894,9.949977000360377,42.0,0.02557046624674545,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=883,2,0,7.456685001670849,9.042918500199448,7.456685001670849,10.629151998728048,42.0,0.0170469774978303,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/?kodekelompok=884,2,0,7.162445996073075,8.026359497307567,7.162445996073075,8.89027299854206,42.0,0.0170469774978303,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=886,1,0,63.70553799933987,63.70553799933987,63.70553799933987,63.70553799933987,150.0,0.00852348874891515,0.0,64,64,64,64,64,64,64,64,64,64,64
GET,/?kodekelompok=888,1,0,9.553245996357873,9.553245996357873,9.553245996357873,9.553245996357873,42.0,0.00852348874891515,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=889,1,0,5.493099000887014,5.493099000887014,5.493099000887014,5.493099000887014,150.0,0.00852348874891515,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/?kodekelompok=894,2,0,7.150138000724837,17.09127950016409,7.150138000724837,27.032420999603346,42.0,0.0170469774978303,0.0,27,27,27,27,27,27,27,27,27,27,27
