Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?idfnf=67,1,0,15.581288000248605,15.581288000248605,15.581288000248605,15.581288000248605,42.0,0.008466333650190255,0.0,16,16,16,16,16,16,16,16,16,16,16
DELETE,/?idfnf=670,1,0,9.429587000340689,9.429587000340689,9.429587000340689,9.429587000340689,69.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?idfnf=670,1,0,43.607490999420406,43.607490999420406,43.607490999420406,43.607490999420406,42.0,0.008466333650190255,0.0,44,44,44,44,44,44,44,44,44,44,44
DELETE,/?idfnf=671,1,0,55.600266001420096,55.600266001420096,55.600266001420096,55.600266001420096,69.0,0.008466333650190255,0.0,56,56,56,56,56,56,56,56,56,56,56
GET,/?idfnf=671,1,0,11.317627999233082,11.317627999233082,11.317627999233082,11.317627999233082,42.0,0.008466333650190255,0.0,11,11,11,11,11,11,11,11,11,11,11
DELETE,/?idfnf=672,1,0,99.0428859986423,99.0428859986423,99.0428859986423,99.0428859986423,55.0,0.008466333650190255,0.0,99,99,99,99,99,99,99,99,99,99,99
GET,/?idfnf=672,1,0,53.446341000380926,53.446341000380926,53.446341000380926,53.446341000380926,460.0,0.008466333650190255,0.0,53,53,53,53,53,53,53,53,53,53,53
DELETE,/?idfnf=673,3,0,6.233837000763742,6.377277333134164,6.233837000763742,6.6365950006002095,69.0,0.02539900095057077,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/?idfnf=673,2,0,10,16.07138150029641,9.963135002180934,22.17962799841189,42.0,0.01693266730038051,0.0,22,22,22,22,22,22,22,22,22,22,22
DELETE,/?idfnf=674,1,0,8.51990199953434,8.51990199953434,8.51990199953434,8.51990199953434,55.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?idfnf=674,1,0,9.564441999827977,9.564441999827977,9.564441999827977,9.564441999827977,461.0,0.008466333650190255,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/?idfnf=675,2,0,7,7.8421319976769155,6.822993997047888,8.861269998305943,69.0,0.01693266730038051,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=677,2,0,7.34104400180513,11.371878499630839,7.34104400180513,15.402712997456547,69.0,0.01693266730038051,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/?idfnf=677,1,0,5.447499999718275,5.447499999718275,5.447499999718275,5.447499999718275,42.0,0.008466333650190255,0.0,5,5,5,5,5,5,5,5,5,5,5
DELETE,/?idfnf=678,1,0,10.414185999252368,10.414185999252368,10.414185999252368,10.414185999252368,55.0,0.008466333650190255,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?idfnf=678,1,0,8.229577000747668,8.229577000747668,8.229577000747668,8.229577000747668,42.0,0.008466333650190255,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/?idfnf=679,1,0,6.6738499990606215,6.6738499990606215,6.6738499990606215,6.6738499990606215,69.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=68,1,0,59.14721100270981,59.14721100270981,59.14721100270981,59.14721100270981,69.0,0.008466333650190255,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/?idfnf=680,1,0,48.18146300021908,48.18146300021908,48.18146300021908,48.18146300021908,55.0,0.008466333650190255,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/?idfnf=680,1,0,8.57411799734109,8.57411799734109,8.57411799734109,8.57411799734109,42.0,0.008466333650190255,0.0,9,9,9,9,9,9,9,9,9,9,9
DELETE,/?idfnf=681,2,0,9,78.589020000436,8.891543999197893,148.2864960016741,69.0,0.01693266730038051,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/?idfnf=684,2,0,7.085161003487883,45.982126001035795,7.085161003487883,84.8790909985837,69.0,0.01693266730038051,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/?idfnf=685,1,0,56.72011000206112,56.72011000206112,56.72011000206112,56.72011000206112,42.0,0.008466333650190255,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/?idfnf=687,2,0,11,12.286578998100595,10.624897997331573,13.948259998869617,62.0,0.01693266730038051,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,/?idfnf=688,1,0,7.082394000462955,7.082394000462955,7.082394000462955,7.082394000462955,69.0,0.008466333650190255,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idfnf=688,1,0,6.3671679999970365,6.3671679999970365,6.3671679999970365,6.3671679999970365,42.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=689,2,0,5.048458002420375,26.602537000144366,5.048458002420375,48.15661599786836,69.0,0.01693266730038051,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/?idfnf=689,1,0,7.77516000016476,7.77516000016476,7.77516000016476,7.77516000016476,42.0,0.008466333650190255,0.0,8,8,8,8,8,8,8,8,8,8,8
DELETE,/?idfnf=69,1,0,79.26047499859123,79.26047499859123,79.26047499859123,79.26047499859123,69.0,0.008466333650190255,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/?idfnf=690,1,0,5.679702000634279,5.679702000634279,5.679702000634279,5.679702000634279,401.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=691,2,0,9.407057001226349,33.40457150079601,9.407057001226349,57.40208600036567,69.0,0.01693266730038051,0.0,57,57,57,57,57,57,57,57,57,57,57
GET,/?idfnf=691,1,0,54.31286299790372,54.31286299790372,54.31286299790372,54.31286299790372,42.0,0.008466333650190255,0.0,54,54,54,54,54,54,54,54,54,54,54
DELETE,/?idfnf=692,3,0,6,5.993607000467212,5.232199000602122,6.571453999640653,69.0,0.02539900095057077,0.0,6,6,7,7,7,7,7,7,7,7,7
DELETE,/?idfnf=693,4,0,7,24.732436750127818,4.980407997209113,55.47716799992486,69.0,0.03386533460076102,0.0,31,31,55,55,55,55,55,55,55,55,55
GET,/?idfnf=693,1,0,20.769287999428343,20.769287999428343,20.769287999428343,20.769287999428343,42.0,0.008466333650190255,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/?idfnf=694,3,0,75,81.76860900008857,22.01125499777845,148.32234300047276,69.0,0.02539900095057077,0.0,75,75,150,150,150,150,150,150,150,150,150
GET,/?idfnf=694,2,0,48.07740099931834,48.12880649842555,48.07740099931834,48.18021199753275,42.0,0.01693266730038051,0.0,48,48,48,48,48,48,48,48,48,48,48
DELETE,/?idfnf=695,3,0,10,28.879502001169993,8.197012000891846,68.22267300231033,69.0,0.02539900095057077,0.0,10,10,68,68,68,68,68,68,68,68,68
DELETE,/?idfnf=696,1,0,31.821632001083344,31.821632001083344,31.821632001083344,31.821632001083344,69.0,0.008466333650190255,0.0,32,32,32,32,32,32,32,32,32,32,32
GET,/?idfnf=696,1,0,6.288550001045223,6.288550001045223,6.288550001045223,6.288550001045223,42.0,0.008466333650190255,0.0,6,6,6,6,6,6,6,6,6,6,6
DELETE,/?idfnf=697,2,0,8.39411099877907,63.02864249846607,8.39411099877907,117.66317399815307,62.0,0.01693266730038051,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/?idfnf=697,1,0,15.155156997934682,15.155156997934682,15.155156997934682,15.155156997934682,42.0,0.008466333650190255,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/?idfnf=698,1,0,25.360692001413554,25.360692001413554,25.360692001413554,25.360692001413554,42.0,0.008466333650190255,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/?idfnf=699,2,0,7,13.829097999405349,6.9980250009393785,20.66017099787132,460.0,0.01693266730038051,0.0,21,21,21,21,21,21,21,21,21,21,21
DELETE,/?idfnf=7,1,0,45.32752099839854,45.32752099839854,45.32752099839854,45.32752099839854,69.0,0.008466333650190255,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/?idfnf=7,2,0,10,11.581955001020106,9.587753000232624,13.576157001807587,42.0,0.01693266730038051,0.0,14,14,14,14,14,14,14,14,14,14,14
DELETE,/?idfnf=70,4,0,8,50.05011250068492,5.725540002458729,141.61032799893292,69.0,0.03386533460076102,0.0,45,45,140,140,140,140,140,140,140,140,140
GET,/?idfnf=70,1,0,23.079096998117166,23.079096998117166,23.079096998117166,23.079096998117166,42.0,0.008466333650190255,0.0,23,23,23,23,23,23,23,23,23,23,23
DELETE,/?idfnf=700,2,0,17.415571001038188,21.588957501080586,17.415571001038188,25.762344001122983,62.0,0.01693266730038051,0.0,26,26,26,26,26,26,26,26,26,26,26
GET,/?idfnf=701,3,0,13,17.11756100000154,10.993169998982921,27.807812999526504,42.0,0.02539900095057077,0.0,13,13,28,28,28,28,28,28,28,28,28
GET,/?idfnf=703,2,0,6,29.35815300043032,5.679032001353335,53.037273999507306,461.0,0.01693266730038051,0.0,53,53,53,53,53,53,53,53,53,53,53
DELETE,/?idfnf=704,2,0,28,48.30671700074163,27.85964199938462,68.75379200209863,69.0,0.01693266730038051,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/?idfnf=705,1,0,38.30564899908495,38.30564899908495,38.30564899908495,38.30564899908495,69.0,0.008466333650190255,0.0,38,38,38,38,38,38,38,38,38,38,38
DELETE,/?idfnf=706,2,0,8.440679997875122,21.95266150010866,8.440679997875122,35.4646430023422,69.0,0.01693266730038051,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/?idfnf=706,2,0,7,7.674313499592245,6.663233001745539,8.68539399743895,42.0,0.01693266730038051,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?idfnf=707,1,0,9.768256997631397,9.768256997631397,9.768256997631397,9.768256997631397,42.0,0.008466333650190255,0.0,10,10,10,10,10,10,10,10,10,10,10
DELETE,/?idfnf=708,1,0,5.106455002533039,5.106455002533039,5.106455002533039,5.106455002533039,69.0,0.008466333650190255,0.0,5,5,5,5,5,5,5,5,5,5,5
GET,/?idfnf=708,1,0,8.37695900190738,8.37695900190738,8.37695900190738,8.37695900190738,42.0,0.008466333650190255,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idfnf=709,2,0,6.384874999639578,16.44888900045771,6.384874999639578,26.512903001275845,461.0,0.01693266730038051,0.0,27,27,27,27,27,27,27,27,27,27,27
