Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/,1008,0,12,23.11563920131217,6.358478000038303,155.5035580022377,55.0,8.658542193166957,0.0,12,18,31,40,58,74,91,100,150,160,160
PUT,/,1008,0,9,20.744501129900613,4.868817995884456,203.99644799908856,69.0,8.658542193166957,0.0,9,15,27,37,54,69,86,100,200,200,200
GET,/?idces=1,3,0,8,19.684888667446405,6.5176680000149645,44.802367003285326,148.0,0.025769470812996895,0.0,8,8,45,45,45,45,45,45,45,45,45
GET,/?idces=10,2,0,6.3321990019176155,6.940979499631794,6.3321990019176155,7.549759997345973,149.0,0.0171796472086646,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idces=100,2,0,18,33.064580500649754,17.979746000492014,48.149415000807494,150.0,0.0171796472086646,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/?idces=101,3,0,9,10.912624333286658,6.16770100168651,18.028908998530824,150.0,0.025769470812996895,0.0,9,9,18,18,18,18,18,18,18,18,18
GET,/?idces=102,1,0,5.774441997346003,5.774441997346003,5.774441997346003,5.774441997346003,150.0,0.0085898236043323,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?idces=103,2,0,9,49.960391497734236,8.78250900132116,91.13827399414731,150.0,0.0171796472086646,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/?idces=104,1,0,6.622285000048578,6.622285000048578,6.622285000048578,6.622285000048578,149.0,0.0085898236043323,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idces=105,3,0,15,41.74675333342748,5.578698997851461,104.77866099972744,150.0,0.025769470812996895,0.0,15,15,100,100,100,100,100,100,100,100,100
GET,/?idces=106,2,0,6,7.283902497874806,5.674471998645458,8.893332997104153,150.0,0.0171796472086646,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?idces=107,2,0,8,48.45251650112914,7.868581000366248,89.03645200189203,150.0,0.0171796472086646,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/?idces=108,1,0,41.77137299848255,41.77137299848255,41.77137299848255,41.77137299848255,150.0,0.0085898236043323,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/?idces=109,3,0,47,46.23719699884532,6.259159999899566,85.24125000258209,150.0,0.025769470812996895,0.0,47,47,85,85,85,85,85,85,85,85,85
GET,/?idces=11,5,0,10,20.05369340040488,5.319333999068476,59.07296299847076,149.0,0.04294911802166149,0.0,10,17,17,59,59,59,59,59,59,59,59
GET,/?idces=110,2,0,6.4392280037282035,7.229554503282998,6.4392280037282035,8.019881002837792,150.0,0.0171796472086646,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?idces=111,1,0,44.240112001716625,44.240112001716625,44.240112001716625,44.240112001716625,150.0,0.0085898236043323,0.0,44,44,44,44,44,44,44,44,44,44,44
GET,/?idces=113,3,0,8,20.746254667756148,6.147318003058899,48.041713002021424,114.0,0.025769470812996895,0.0,8,8,48,48,48,48,48,48,48,48,48
GET,/?idces=114,1,0,11.13000100303907,11.13000100303907,11.13000100303907,11.13000100303907,150.0,0.0085898236043323,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/?idces=116,2,0,5.2153770011500455,8.290795001812512,5.2153770011500455,11.366213002474979,150.0,0.0171796472086646,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/?idces=117,1,0,7.3810370013234206,7.3810370013234206,7.3810370013234206,7.3810370013234206,150.0,0.0085898236043323,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?idces=118,1,0,9.849412002949975,9.849412002949975,9.849412002949975,9.849412002949975,149.0,0.0085898236043323,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/?idces=119,3,0,12,14.977019668246308,11.497723004140425,21.33044900256209,150.0,0.025769470812996895,0.0,12,12,21,21,21,21,21,21,21,21,21
GET,/?idces=12,1,0,9.46460400155047,9.46460400155047,9.46460400155047,9.46460400155047,149.0,0.0085898236043323,0.0,9,9,9,9,9,9,9,9,9,9,9
